Timestamp,Occupancy
2026-02-24 11:05:00.000,16
2026-02-24 11:15:00.000,72
2026-02-24 13:50:00.000,922
2026-02-24 14:15:00.000,998
2026-02-24 14:25:00.000,983
2026-02-24 14:35:00.000,949
2026-02-24 14:45:00.000,1015
2026-02-24 14:55:00.000,1082
2026-02-24 15:10:00.000,1172
2026-02-24 15:20:00.000,1218
2026-02-24 15:30:00.000,1268
2026-02-24 15:35:00.000,1269
2026-02-24 15:45:00.000,1239
2026-02-24 15:55:00.000,1189
2026-02-24 16:05:00.000,1111
2026-02-24 16:15:00.000,1130
2026-02-24 16:25:00.000,1163
2026-02-24 16:35:00.000,1161
2026-02-24 16:45:00.000,1166
2026-02-24 17:05:00.000,1208
2026-02-24 17:15:00.000,1197
2026-02-24 17:25:00.000,1152
2026-02-24 17:40:00.000,1122
2026-02-24 18:35:00.000,1060
2026-02-24 23:55:00.000,35
2026-02-24 23:55:00.000,1
2026-02-24 23:55:00.000,1
2026-02-24T22:50:42,0
2026-02-24 23:55:00.000,0
2026-02-24 23:55:00.000,0
2026-02-24 23:55:00.000,0,Real
2026-02-25T04:38:51,0,Estimated
2026-02-25T05:39:08,0,Estimated
2026-02-25T06:43:24,0,Estimated
2026-02-25 04:00:00.000,0,Real
2026-02-25T08:29:42,0,Estimated
2026-02-25T09:31:17,0,Estimated
2026-02-25T10:31:28,0,Estimated
2026-02-25T11:25:26,0,Estimated
2026-02-25 08:25:00.000,0,Real
2026-02-25T13:38:10,0,Estimated
2026-02-25 14:23:30.000,0,Estimated
2026-02-25 14:36:03.000,0,Estimated
2026-02-25 15:38:41.000,0,Estimated
2026-02-25 16:47:53.000,0,Estimated
2026-02-25 17:45:56.000,0,Estimated
2026-02-25 18:43:55.000,0,Estimated
2026-02-25 16:00:00.000,1136,Real
2026-02-25 20:19:01.000,1084,Estimated
2026-02-25 20:57:47.000,1067,Estimated
2026-02-25 21:41:12.000,1093,Estimated
2026-02-25 22:02:38.000,1057,Estimated
2026-02-25 22:48:45.000,1043,Estimated
2026-02-25 23:17:20.000,1074,Estimated
2026-02-25 23:47:24.000,1020,Estimated
2026-02-26 00:53:32.000,971,Estimated
2026-02-25 23:50:00.000,0,Real
2026-02-26 05:09:41.000,0,Estimated
2026-02-26 06:12:03.000,0,Estimated
2026-02-26 07:17:08.000,0,Estimated
2026-02-26 08:02:18.000,0,Estimated
2026-02-26 09:01:22.000,0,Estimated
2026-02-26 10:02:27.000,0,Estimated
2026-02-26 07:25:00.000,0,Real
2026-02-26 11:49:18.000,0,Estimated
2026-02-26 12:31:47.000,0,Estimated
2026-02-26 13:53:04.000,0,Estimated
2026-02-26 14:43:25.000,0,Estimated
2026-02-26 15:39:07.000,0,Estimated
2026-02-26 16:38:36.000,0,Estimated
2026-02-26 17:44:29.000,0,Estimated
2026-02-26 18:31:41.000,0,Estimated
2026-02-26 19:28:39.000,0,Estimated
2026-02-26 20:03:34.000,0,Estimated
2026-02-26 20:52:13.000,0,Estimated
2026-02-26 21:25:37.000,0,Estimated
2026-02-26 21:55:04.000,0,Estimated
2026-02-26 22:33:13.000,0,Estimated
2026-02-26 23:02:59.000,0,Estimated
2026-02-26 23:41:02.000,0,Estimated
2026-02-26 20:20:00.000,448,Real
2026-02-27 02:48:04.000,451,Estimated
2026-02-27 04:27:55.000,445,Estimated
2026-02-27 05:37:23.000,464,Estimated
2026-02-27 06:31:46.000,473,Estimated
2026-02-27 03:55:00.000,0,Real
2026-02-27 08:05:05.000,0,Estimated
2026-02-27 08:57:23.000,0,Estimated
2026-02-27 09:51:16.000,0,Estimated
2026-02-27 10:27:09.000,0,Estimated
2026-02-27 11:06:54.000,0,Estimated
2026-02-27 11:45:45.000,0,Estimated
2026-02-27 12:24:54.000,0,Estimated
2026-02-27 13:37:58.000,0,Estimated
2026-02-27 14:23:42.000,0,Estimated
2026-02-27 15:04:45.000,0,Estimated
2026-02-27 12:15:00.000,160,Real
2026-02-27 16:24:35.000,161,Estimated
2026-02-27 17:03:19.000,154,Estimated
2026-02-27 14:10:00.000,364,Real
2026-02-27 18:23:33.000,346,Estimated
2026-02-27 19:08:33.000,331,Estimated
2026-02-27 19:46:55.000,345,Estimated
2026-02-27 20:15:06.000,357,Estimated
2026-02-27 20:46:40.000,359,Estimated
2026-02-27 21:14:28.000,342,Estimated
2026-02-27 21:45:45.000,341,Estimated
2026-02-27 18:25:00.000,513,Real
2026-02-27 22:34:57.000,522,Estimated
2026-02-27 22:55:38.000,499,Estimated
2026-02-27 23:26:07.000,495,Estimated
2026-02-27 23:48:22.000,481,Estimated
2026-02-27 20:20:00.000,233,Real
2026-02-28 02:36:26.000,243,Estimated
2026-02-28 04:08:44.000,251,Estimated
2026-02-28 05:03:20.000,243,Estimated
2026-02-28 05:46:00.000,245,Estimated
2026-02-28 06:02:44.000,237,Estimated
2026-02-28 06:54:34.000,231,Estimated
2026-02-28 07:25:35.000,242,Estimated
2026-02-28 07:47:18.000,253,Estimated
2026-02-28 07:59:14.000,257,Estimated
2026-02-28 08:39:48.000,250,Estimated
2026-02-28 08:59:00.000,257,Estimated
2026-02-28 09:35:28.000,259,Estimated
2026-02-28 09:52:45.000,268,Estimated
2026-02-28 10:17:11.000,280,Estimated
2026-02-28 10:43:52.000,279,Estimated
2026-02-28 10:57:50.000,270,Estimated
2026-02-28 11:26:29.000,273,Estimated
2026-02-28 11:42:59.000,284,Estimated
2026-02-28 11:54:45.000,277,Estimated
